State,Year,HLp,NPr,LTFr,CLEARr,Dr,EIr,EI6r,PerTscr,PerTNscr,PerNPIS,PerReferOP,PerReDirDiag,PerOPS,PerNPOS,PerD,PerDHL,PerHL3,PerLTF,PerEI,PerEI6,NPIS,ReferOP,OPS,POS,NPOS,CLEAR,EI,EI6,Birth,Tscr,TNscr,NoInPaOut,NoInReOut,PaInPaOut,PaInReOut,PaInNoOut,ReInNoOut,ReInPaOut,ReInReOut,ReInStDia,Tdiag,TotPas,TotNotPas,HL,NHL,HL3,LTF,ToEnrEIPC,ToEnrEINPC,ToEnrEI6PC,ToEnrEI6NPC,Pop_with_insur,Pop_without_insur,Total_population,Population_under_5yr,White_alone_male_under_5yr,White_alone_female_under_5yr,Black_male_under_5yr,Black_female_under_5yr,Median_household_income,White_under_5yr,Black_under_5yr,Percent_insured,Percent_uninsured,percent_White_under_5yr,percent_Black_under_5yr,Health_Spending_per_Capita
Alabama,2015,1.2209796149490373,49.88321064552662,10.847253680634202,37.708805209513024,1.3448471121177803,0.28312570781426954,0.08847678369195923,94.22121444529661,5.778785554703391,6.853411664779162,166.09863155176865,0.4905757810482829,89.52262864228146,37.10180055401662,2.695991486342675,90.78947368421053,44.927536231884055,21.745299751684993,23.18840579710145,7.246376811594203,3873,6433,5776,3633,2143,2131,16,5,59978,56512,3466,28,7,653,1891,50060,657,2952,245,19,75,53693,2819,69,6,31,613,16,0,5,0,4148627,601159,4830620,295054,93846,88640,44711,44276,43623,182486,88987,85.88187437637404,12.444758643817979,61.84833962596677,30.15956401201136,7657
Alaska,2015,1.7639959149568285,13.18354841704577,3.527991829913657,1.3926283539132858,8.355770123479715,1.1141026831306284,0.5570513415653142,96.3847874720358,3.615212527964206,4.345000464209451,97.86324786324786,10.897435897435898,77.40667976424362,6.852791878172589,63.38028169014085,21.11111111111111,63.1578947368421,26.76056338028169,63.1578947368421,31.57894736842105,468,458,394,367,27,15,12,6,11175,10771,404,41,0,0,0,10262,64,326,27,51,89,10629,142,19,70,12,38,12,0,6,NA,580394,128964,733375,54953,15450,14553,808,978,72515,30003,1786,79.14013976478608,17.585000852224304,54.597565192073226,3.2500500427638164,11460
Arizona,2015,2.2232363300218814,9.957758509729583,3.6975930541416555,1.1818256280642632,5.090041071365886,0.9946057265887364,0.6786721428487849,98.81026708289976,1.1897329171002426,4.156281812756696,108.67117117117118,5.461711711711711,88.06117414898866,10.280112044817926,51.11633372502937,43.67816091954023,68.94736842105263,37.132784958871916,44.73684210526316,30.526315789473685,3552,3860,3570,3203,367,101,85,58,86490,85461,1029,381,53,68,0,81407,290,2754,314,194,434,84610,851,190,244,131,316,85,0,58,0,5551125,982384,6641928,433835,156949,148199,10731,10327,50255,305148,21058,83.57701257827547,14.790645125933313,70.3373402330379,4.853919116714881,6885
Arkansas,2015,1.0263890014315427,13.126975123571833,8.211112011452341,3.0521567674148504,1.8907165815844205,0.8913378170326554,0.3241228425573292,98.84925508623911,1.15074491376088,4.408070658779677,246.07843137254903,1.1029411764705883,89.8116013882003,2.070107645597571,14.40329218106996,54.285714285714285,23.684210526315788,62.55144032921811,86.8421052631579,31.57894736842105,1632,4016,3623,3548,75,113,33,12,37454,37023,431,56,NA,2346,NA,32989,393,1146,75,18,69,36537,486,38,31,9,304,6,27,1,11,2493760,411433,2958208,191780,69358,65980,18538,17155,41371,135338,35693,84.2996841330968,13.908183603046167,70.56940244029617,18.611429763270415,7620
California,2015,2.2959157195495354,5.995121698064247,0.2968498624734029,1.1188956354766724,4.581452073278323,1.9741553791063366,1.4821734392028647,99.52564041642822,0.47435958357178715,3.005864341688723,84.85497237569061,15.6560773480663,80.66510924831661,0.6303236797274276,76.4196675900277,50.113275940190306,66.54611211573237,4.951523545706371,85.98553345388788,64.55696202531645,14480,12287,11740,11666,74,539,951,714,484021,481725,2296,NA,74,NA,NA,467171,547,11666,NA,2267,2206,478837,2888,1106,1100,736,143,951,0,714,NA,32338467,5573845,38421464,2511776,723655,695913,69788,66914,61818,1419568,136702,84.16771156872107,14.507112482751827,56.51650465646618,5.4424439121959916,7998
Colorado,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4548363,638851,5278906,336874,136364,126948,7817,7270,60629,263312,15087,86.16109095331494,12.101958246651863,78.16334890790029,4.478529064279226,7075
Connecticut,2015,2.788984863664672,15.650808264060005,1.976659175218651,0.8935582572906231,12.80766835449893,1.6788064227884434,1.1101784408762285,99.13031807811032,0.8696819218896793,NA,NA,NA,NA,NA,81.83391003460207,21.775898520084567,61.165048543689316,12.629757785467127,60.19417475728155,39.80582524271845,NA,NA,NA,NA,NA,33,62,41,37255,36931,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,472,36353,578,103,369,63,73,62,0,41,NA,3258970,279629,3593222,191445,65129,62602,13134,11477,70331,127731,24611,90.697708073701,7.782124232791627,66.71942333307216,12.855389276293453,10294
Delaware,2015,2.1872265966754156,9.448818897637794,4.199475065616798,0.9623797025371829,4.374453193350831,1.3998250218722659,0.5249343832020997,99.58180867746994,0.4181913225300575,NA,NA,NA,NA,NA,46.2962962962963,50,44,44.44444444444444,64,24,NA,NA,NA,NA,NA,11,16,6,11478,11430,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,11322,108,25,24,11,48,16,0,6,NA,836681,75107,926454,55812,16886,16148,7054,6615,60509,33034,13669,90.31004237663176,8.106932454282674,59.18798824625529,24.491148856876656,10714
District of Columbia,2015,1.04629871828407,31.824919347807132,29.645130351381983,0.523149359142035,1.7438311971401168,0,0,92.76874545013347,7.231254549866538,4.499084488621501,154.26356589147287,0,58.417085427135675,7.311827956989248,5.47945205479452,60,41.66666666666667,93.15068493150685,0,0,516,796,465,431,34,6,0,0,12363,11469,894,265,11,4,0,10673,331,162,23,0,19,11104,365,12,7,5,340,0,0,NA,NA,599599,37011,647484,40433,6293,6206,10735,10491,70848,12499,21226,92.60445045746305,5.7161258038808676,30.91286820171642,52.49672297380852,12500
Florida,2015,1.340136868961325,38.43567803557119,2.7677740833187503,1.3631632756445091,34.30934595794457,0.8750034539610024,0.5203967910399646,96.82039300317025,3.1796069968297562,NA,NA,NA,NA,NA,89.26431823628084,3.906040268456376,49.140893470790374,7.20105439731608,65.29209621993127,38.83161512027492,NA,NA,NA,NA,NA,296,190,113,224273,217142,7131,NA,NA,NA,NA,NA,NA,NA,NA,NA,7449,208796,8346,291,7158,143,601,190,0,113,NA,15860768,3474482,19645772,1081057,363968,347415,119889,115615,47507,711383,235504,80.733747698996,17.68564757852224,65.8043932928606,21.784605252081988,8330
