State,Year,HL,Total_population,Black_under_5yr,White_under_5yr,Pop_with_insur,Median_household_income,Health_Spending_per_Capita
Alaska,2015,19,733375,1786,30003,580394,72515,11460
Arizona,2015,190,6641928,21058,305148,5551125,50255,6885
Arkansas,2015,38,2958208,35693,135338,2493760,41371,7620
California,2015,1106,38421464,136702,1419568,32338467,61818,7998
Connecticut,2015,103,3593222,24611,127731,3258970,70331,10294
Delaware,2015,25,926454,13669,33034,836681,60509,10714
District of Columbia,2015,12,647484,21226,12499,599599,70848,12500
Florida,2015,291,19645772,235504,711383,15860768,47507,8330
Georgia,2015,221,10006693,222639,352543,8132502,49620,7055
Hawaii,2015,74,1406299,2055,18546,1272129,69515,7747
Idaho,2015,63,1616547,753,101831,1361030,47583,6843
Illinois,2015,279,12873761,125036,524163,11295589,57574,8300
Indiana,2015,113,6568645,46788,324447,5640622,49255,8368
Iowa,2015,68,3093526,9394,167482,2826406,53183,8358
Kansas,2015,57,2892987,12948,160016,2515753,52205,7634
Kentucky,2015,90,4397353,24096,226176,3821976,43740,8306
Louisiana,2015,84,4625253,114048,170509,3822370,45047,8201
Maine,2015,31,1329100,1671,59006,1182794,49331,9591
Maryland,2015,105,5930538,114694,180637,5313662,74551,9001
Massachusetts,2015,182,6705586,35452,255130,6391805,68563,11010
Michigan,2015,164,9900571,98208,409220,8845904,49576,8372
Missouri,2015,121,6045448,51109,286375,5205916,48173,8261
Montana,2015,23,1014699,219,49767,843946,47169,8344
Nebraska,2015,59,1869365,8000,106761,1651833,52997,8579
Nevada,2015,52,2798636,16824,111126,2258127,51847,6987
New Hampshire,2015,30,1324201,992,58535,1187005,66779,9763
New Jersey,2015,115,8904413,77991,322025,7773154,72093,9483
New Mexico,2015,59,2084117,3165,93004,1713355,44963,7418
New York,2015,305,19673174,198075,666508,17550259,59269,10305
North Carolina,2015,202,9845333,138891,373996,8259444,46868,7594
North Dakota,2015,15,721640,994,39766,642145,57181,9357
Ohio,2015,202,11575977,104560,519066,10294292,49429,8754
Oklahoma,2015,89,3849733,20514,167931,3140751,46879,7902
Oregon,2015,122,3939233,5185,181992,3420441,51243,8438
Pennsylvania,2015,169,12779559,100940,520822,11468414,53599,9562
Rhode Island,2015,27,1053661,5494,38902,941771,56852,9914
South Carolina,2015,106,4777576,90218,172927,3999311,45483,7446
South Dakota,2015,30,843190,1493,44879,734488,50957,9627
Tennessee,2015,138,6499615,80200,279772,5578318,45219,7806
Texas,2015,491,26538614,227765,1408728,20698446,53207,7217
Utah,2015,98,2903379,2719,216093,2496443,60727,6112
Vermont,2015,9,626604,419,27981,584299,55176,11010
Virginia,2015,167,8256630,102869,317582,7126973,65015,7750
Washington,2015,162,6985464,18836,308237,6091385,61062,7904
West Virginia,2015,14,1851420,3398,92959,1613621,41751,9947
Wisconsin,2015,142,5742117,30965,266126,5219979,53357,8654
Wyoming,2015,19,579679,408,33626,493896,58840,8652
Alaska,2016,19,736855,1548,29658,592366,74444,11761
Arizona,2016,203,6728577,21504,302320,5718154,51340,7189
Arkansas,2016,43,2968472,34641,134103,2555830,42336,8079
California,2016,1023,38654206,135093,1399592,33347804,63783,8325
